time,signal,price,rsi,position,pnl,pnl_hkd,message
2026-05-05 11:31:00,buy_bear,25789.93,28.63,bear,,,【熊证·放量动能】挂 buy1 买入: HK.67498 x100000 @ 0.061 | order_id:7640097 | 跌15.0点 | 1.5x量
2026-05-05 11:32:00,hold,25793.76,31.51,none,,,买入未成交，已追价一次到最新 buy1: HK.67498 @ 0.061
2026-05-05 11:33:00,buy_bear,25797.25,34.98,bear,,,【熊证】买入全数成交: HK.67498 x100000 @ 0.061; 成交时HSI:25797.25; 已挂 +2格卖出 @ 0.063 | order_id:7640102
2026-05-05 13:38:04,take_profit,25747.06,0.0,bear,50.19,300.0,止盈卖出成交: HK.67498 x100000 @ 0.064 | 成交时HSI:25747.06 | 证价PnL 300.00 HKD
2026-05-05 15:12:00,buy_bear,25886.85,76.1,bear,,,【熊证·极度超买】挂 buy1 买入: HK.67498 x100000 @ 0.049 | order_id:7640432 | HSI:25886.85 RSI:76.10
2026-05-05 15:13:00,hold,25886.03,75.84,none,,,买入未成交，已追价一次到最新 buy1: HK.67498 @ 0.050
2026-05-05 15:14:00,hold,25882.53,72.5,none,,,买入追价后仍未全数成交，已取消今轮信号: order_id:7640432 | 撤单成功
2026-05-05 15:37:00,buy_bear,25921.2,77.68,bear,,,【熊证·极度超买】挂 buy1 买入: HK.67498 x100000 @ 0.046 | order_id:7640474 | HSI:25921.20 RSI:77.68
2026-05-05 15:38:00,hold,25916.67,71.2,none,,,买入未成交，已追价一次到最新 buy1: HK.67498 @ 0.048
2026-05-05 15:39:00,buy_bear,25915.93,70.35,bear,,,【熊证】买入全数成交: HK.67498 x100000 @ 0.048; 成交时HSI:25915.93; 已挂 +2格卖出 @ 0.050 | order_id:7640484
2026-05-05 15:44:17,take_profit,25898.17,53.12,bear,17.76,200.0,止盈卖出成交: HK.67498 x100000 @ 0.050 | 成交时HSI:25898.17 | 证价PnL 200.00 HKD
2026-05-05 16:00:00,buy_bull,25898.61,58.09,bull,,,【牛证·放量动能】挂 buy1 买入: HK.58428 x100000 @ 0.050 | order_id:7640556 | 涨15.2点 | 9.1x量
2026-05-05 16:00:00,hold,25898.61,58.09,none,,,买入未成交，已追价一次到最新 buy1: HK.58428 @ 0.050
2026-05-05 16:00:00,hold,25898.61,58.09,none,,,买入追价后仍未全数成交，已取消今轮信号: order_id:7640556 | 撤单成功
2026-05-05 16:00:00,buy_bull,25898.61,58.09,bull,,,【牛证·放量动能】挂 buy1 买入: HK.58428 x100000 @ 0.050 | order_id:7640558 | 涨15.2点 | 9.1x量
2026-05-05 16:00:00,hold,25898.61,58.09,none,,,买入未成交，已追价一次到最新 buy1: HK.58428 @ 0.050
2026-05-05 16:00:00,hold,25898.61,58.09,none,,,买入追价后仍未全数成交，已取消今轮信号: order_id:7640558 | 撤单成功
2026-05-05 16:00:00,buy_bull,25898.61,58.09,bull,,,【牛证·放量动能】挂 buy1 买入: HK.58428 x100000 @ 0.050 | order_id:7640559 | 涨15.2点 | 9.1x量
2026-05-05 16:00:00,hold,25898.61,58.09,none,,,买入未成交，已追价一次到最新 buy1: HK.58428 @ 0.050
2026-05-05 16:00:00,hold,25898.61,58.09,none,,,买入追价后仍未全数成交，已取消今轮信号: order_id:7640559 | 撤单成功
2026-05-05 16:00:00,buy_bull,25898.61,58.09,bull,,,【牛证·放量动能】挂 buy1 买入: HK.58428 x100000 @ 0.050 | order_id:7640563 | 涨15.2点 | 9.1x量
2026-05-06 10:24:25,hold,25898.61,0.0,none,,,手动清理过夜未完成买入 pending: order_id:7640563
